,Unnamed: 0,key,PR
1862,1862,8699,0.040641908
1863,1863,121583,0.06437694
1864,1864,8718,0.04222165
1865,1865,8732,0.05543587
1866,1866,8740,0.040415224
1867,1867,43151,0.045520887
1868,1868,8758,0.042524025
1869,1869,101752,0.18279353
1875,1875,19940,0.0431608
1879,1879,45387,0.041398972
1882,1882,8610,0.04402829
1883,1883,121704,0.08790549
1887,1887,20183,0.20459905
1888,1888,121746,0.08132342
1889,1889,19975,0.05909241
1893,1893,8723,0.24442981
1896,1896,19924,0.10415907
1898,1898,121781,0.25689608
1899,1899,20212,0.12161865
1901,1901,121622,0.17307618
1902,1902,20095,0.14038396
1904,1904,59398,0.21368812
1907,1907,8683,0.042823162000000005
1909,1909,59370,0.066731036
1918,1918,20068,0.062453315
1925,1925,19995,0.15601297
1927,1927,121653,0.058061693
1928,1928,20208,0.063910544
1931,1931,8698,0.069417916
1933,1933,101758,0.05171652
1937,1937,8602,0.047561597000000004
1942,1942,43129,0.06079766
1944,1944,98322,0.07119147
1949,1949,8728,0.04751045
1953,1953,20132,0.07196016599999999
1962,1962,20028,0.06185917
1965,1965,8714,0.050146602
1972,1972,34,0.06164032
1975,1975,8595,0.040595274
1982,1982,20128,0.12779054
1983,1983,101744,0.11875610000000002
1992,1992,121762,0.044814464000000005
1994,1994,121585,0.06781307
1998,1998,8687,0.049068395
2000,2000,8744,0.04621754
2002,2002,20224,0.064231955
2006,2006,8583,0.04289108
2009,2009,8701,0.049788177
2012,2012,121612,0.14177620000000002
2018,2018,8620,0.041291587000000005
2020,2020,101742,0.052540682000000005
2023,2023,121745,0.31622034
2025,2025,59352,0.0727682
2026,2026,101732,0.10140696
2033,2033,44024,0.05187849
2036,2036,20035,0.088255554
2040,2040,20024,0.048398644000000005
2042,2042,121602,0.062945485
2044,2044,44044,0.04082353
2047,2047,8673,0.052129499999999995
2050,2050,19923,0.35140303
2052,2052,45385,0.04881607
2057,2057,121629,0.059184514
2060,2060,8619,0.05633941
2064,2064,8750,0.040660832
2069,2069,8722,0.05054781
2077,2077,8739,0.042957213
2079,2079,101778,0.072629705
2102,2102,8649,0.09004992
2104,2104,98412,0.07729815
2106,2106,17,0.04517839
2111,2111,8580,0.042783905
2113,2113,8563,0.044335075
2115,2115,8586,0.04597823
2121,2121,8626,0.19778766
2124,2124,8753,0.04114308
2132,2132,98385,0.06624616
2137,2137,20040,0.079739586
2141,2141,8664,0.04047387
2185,2185,44035,0.05591064
2203,2203,19937,0.044553342999999995
2204,2204,92383,0.044201117000000005
2215,2215,43126,0.048884515
2225,2225,8623,0.045169216
2236,2236,20043,0.048854075
2237,2237,20145,0.07956816
2250,2250,100688,0.6649871
2256,2256,8666,0.040944707000000004
2260,2260,43999,0.048794337
2262,2262,43139,0.055761542000000004
2269,2269,121644,0.12809156
2303,2303,39128,0.045941323
2305,2305,8597,0.041065897999999997
2307,2307,8603,0.04816374
2314,2314,98368,0.09720378
2316,2316,59351,0.042344965
2318,2318,8672,0.04131427
2327,2327,64225,0.0704936
2330,2330,115768,0.041217952999999995
2339,2339,43131,0.08809363
2355,2355,8617,0.041142426
2362,2362,8635,0.041861895
2366,2366,39020,0.04699067
2371,2371,39011,0.05601253
2381,2381,101791,0.0414269
2394,2394,121647,0.14928478
2397,2397,8760,0.050878223
2413,2413,98279,0.09894452
2430,2430,59366,0.07428542
2433,2433,59367,0.05255657
2449,2449,8594,0.041444194
2466,2466,8717,0.06429184
2495,2495,8682,0.05742722
2496,2496,43141,0.08281393
2526,2526,8700,0.040560927000000004
2527,2527,44009,0.04294503
2540,2540,121663,0.16554625
2541,2541,20044,0.058556385
2549,2549,121566,0.16744411
2566,2566,8564,0.044815846
2595,2595,121677,0.041930723999999996
2642,2642,45434,0.07077043
2652,2652,43121,0.059019815
2676,2676,98379,0.046523027
2689,2689,94113,0.059934024
2701,2701,8659,0.04326336
2723,2723,59345,0.050622642
2725,2725,44006,0.04268411
2749,2749,121694,0.0448255
2831,2831,101751,0.05534922
2880,2880,64266,0.04494782
2889,2889,8688,0.0405612
2938,2938,59388,0.04120948
2961,2961,14256,0.060261737999999995
2984,2984,104717,0.057818737
3010,3010,8613,0.044257138
3088,3088,121563,0.05130544
3096,3096,100655,0.05062967
3115,3115,43147,0.07623166
3117,3117,101756,0.04288005
3150,3150,38942,0.040802926
3167,3167,8676,0.043259714000000005
3172,3172,121733,0.06405634
3176,3176,8705,0.083119504
3192,3192,8660,0.04081782
3197,3197,20079,0.05913586
3215,3215,100649,0.067003414
3218,3218,92422,0.051989947
3346,3346,59395,0.08786932
3387,3387,8674,0.0409019
3396,3396,20171,0.19636956
3424,3424,121751,0.1642233
3491,3491,92433,0.04388418400000001
3494,3494,43123,0.043490123
3519,3519,20155,0.14142779
3523,3523,19984,0.052429567999999996
3550,3550,8585,0.041770764
3616,3616,8742,0.042209662
3634,3634,19987,0.045848604
3657,3657,8632,0.040774498
3677,3677,20104,0.06998938
3679,3679,8737,0.043007735
3703,3703,207,0.060747775999999996
3715,3715,101772,0.050880287
3770,3770,8748,0.051387638
3801,3801,8628,0.055187594000000006
3885,3885,43142,0.047566699999999996
3922,3922,14265,0.053227764000000004
3923,3923,14222,0.040415224
3924,3924,14224,0.041653487999999995
3925,3925,14235,0.068745986
3926,3926,14306,0.040415224
3927,3927,14252,0.06297007
3928,3928,14336,0.05367022
3929,3929,14371,0.04585603
3930,3930,14340,0.040415224
3931,3931,14345,0.040415224
3932,3932,14337,0.040415224
3933,3933,14339,0.044598244
3934,3934,14346,0.06098127
3935,3935,14338,0.040415224
3936,3936,14348,0.045436963
3937,3937,14264,0.20072058
3938,3938,14354,0.042029455
3939,3939,104706,0.045745917000000004
3940,3940,14363,0.061262332
3941,3941,14360,0.057090777999999995
3942,3942,14378,0.043325472999999996
3943,3943,45416,0.066392496
3944,3944,14390,0.040415224
3945,3945,70,0.04910532
3946,3946,14392,0.041953955
3947,3947,14393,0.040851824
3949,3949,45420,0.097538374
3950,3950,14254,0.045888572999999995
3951,3951,88182,0.072534755
3952,3952,14209,0.04641134
3953,3953,14276,0.06840761
3956,3956,45389,0.11284304
3957,3957,14250,0.12392442
3959,3959,14217,0.05274169
3961,3961,45457,0.08592256
3965,3965,14218,0.04143898
3967,3967,39074,0.052968983
3969,3969,14220,0.04541595
3972,3972,14299,0.044232987
3975,3975,45383,0.057823785
3977,3977,14227,0.060275033
3978,3978,45399,0.04736107
3980,3980,45480,0.08438336
3981,3981,14204,0.07201021
3983,3983,39087,0.07195929
3984,3984,68,0.05562070400000001
3986,3986,45421,0.05861281
3988,3988,14272,0.23112336
3992,3992,45473,0.05625288
3993,3993,98301,0.12822822
3994,3994,45471,0.043642145
3996,3996,14279,0.04768141
3998,3998,14211,0.12588201
4002,4002,14234,0.057053417
4005,4005,14207,0.06815228
4010,4010,14322,0.05341148
4012,4012,14283,0.040415224
