key,cited_num,pr,fi,div,dfk,exp_dfk
62662,1,0.007544217,0.001708866,0.005835351,0,1
13903,1,0.007544215,0.001766235,0.00577798,0,1
119843,1,0.007544193,0.001713631,0.005830562,0,1
38181,3,0.007544155,0.001725502,0.010586515,0.598512235,1.819409931
4884,2,0.007544136,0.001719596,0.009563706,0.495895251,1.641967555
99339,3,0.007544124,0.00171911,0.010710616,0.609073984,1.838727919
84357,1,0.007544015,0.001769313,0.005774702,0,1
37932,2,0.007544002,0.001727014,0.010805146,0.619239923,1.857515651
120325,3,0.007543975,0.001723552,0.010668269,0.605900898,1.832902723
54873,2,0.007543954,0.001737922,0.008882482,0.425183628,1.52987132
120113,1,0.00754393,0.001741885,0.005802045,0,1
40615,3,0.007543896,0.001714206,0.011363368,0.667431025,1.949223377
33026,1,0.007543889,0.001706958,0.005836931,0,1
4863,1,0.007543873,0.001747334,0.005796539,0,1
113672,5,0.007543832,0.001746386,0.009942075,0.539358326,1.714906098
4089,3,0.007543832,0.001735121,0.008870739,0.423399471,1.527144224
90955,2,0.007543822,0.001724868,0.011465513,0.67822316,1.970373582
90969,1,0.007543769,0.001729708,0.005814061,0,1
106647,1,0.007543762,0.001723494,0.005820268,0,1
7815,1,0.00754375,0.001718186,0.005825564,0,1
33776,1,0.007543729,0.00174044,0.005803289,0,1
7565,2,0.007543679,0.001771686,0.006881085,0.17575885,1.192150536
26498,3,0.007543677,0.001735363,0.010178264,0.560964155,1.752361234
32576,7,0.00754367,0.001735463,0.009851535,0.528355379,1.696140506
55712,1,0.007543662,0.001727276,0.005816386,0,1
91257,2,0.00754366,0.001709899,0.012545467,0.765697515,2.150493854
5726,3,0.007543659,0.001740657,0.009638029,0.507341264,1.660869505
4077,3,0.007543635,0.001744919,0.01160259,0.693591849,2.000889535
82398,2,0.007543622,0.001719081,0.01376456,0.860016997,2.36320086
36566,1,0.00754362,0.001751393,0.005792227,0,1
3364,2,0.007543606,0.001726057,0.009857801,0.527384056,1.694493804
13880,1,0.007543511,0.001721797,0.005821714,0,1
84380,1,0.00754349,0.00174235,0.00580114,0,1
82820,1,0.007543486,0.001746985,0.005796501,0,1
103245,2,0.007543433,0.00173063,0.012937452,0.800063477,2.225682204
63967,2,0.007543419,0.001720888,0.012080362,0.729846106,2.07476129
29705,2,0.007543417,0.001743799,0.008210622,0.347636616,1.415717707
7723,1,0.007543388,0.001755862,0.005787526,0,1
26398,7,0.007543386,0.001729092,0.011610926,0.691627153,1.996962254
65740,1,0.007543327,0.001707163,0.005836164,0,1
106934,1,0.007543324,0.001742096,0.005801228,0,1
41049,3,0.007543261,0.001717847,0.010908975,0.627355777,1.872652317
110407,1,0.007543259,0.001710158,0.005833101,0,1
12614,2,0.007543246,0.001736958,0.008379297,0.366822562,1.443141829
26064,1,0.007543238,0.001730563,0.005812675,0,1
69467,1,0.00754323,0.0017237,0.00581953,0,1
27622,4,0.0075432,0.001716078,0.014082861,0.882435322,2.41677818
104068,1,0.007543199,0.00172647,0.005816729,0,1
1331,3,0.007543128,0.001709161,0.009794603,0.518134287,1.678892395
90890,1,0.007543117,0.001758483,0.005784634,0,1
58058,1,0.007543117,0.001872255,0.005670862,0,1
20219,1,0.007543108,0.001697118,0.00584599,0,1
13253,2,0.007543089,0.001750852,0.009725807,0.518264338,1.679110751
110155,1,0.007543016,0.001739805,0.005803211,0,1
110165,1,0.007543016,0.001745645,0.005797371,0,1
110158,1,0.007543016,0.001764925,0.005778091,0,1
110162,1,0.007543016,0.001767369,0.005775647,0,1
98924,1,0.007543005,0.001686848,0.005856157,0,1
117984,1,0.007542981,0.001741882,0.005801099,0,1
117989,1,0.007542981,0.001743855,0.005799126,0,1
38697,1,0.007542948,0.001715182,0.005827766,0,1
55762,2,0.00754294,0.001853698,0.008373621,0.386509357,1.471834169
11152,3,0.007542932,0.001717223,0.010921118,0.628417598,1.874641793
36804,8,0.007542923,0.001744368,0.01152181,0.686633025,1.987014031
27268,1,0.007542916,0.001733955,0.005808961,0,1
114449,2,0.007542823,0.001789173,0.005977841,0.038225067,1.038965043
107027,5,0.007542812,0.001739268,0.010213776,0.5652686,1.759920435
116050,1,0.007542772,0.001748157,0.005794615,0,1
26781,3,0.00754275,0.00174386,0.011181874,0.656627567,1.928278367
55754,1,0.007542735,0.001666116,0.005876619,0,1
18200,1,0.007542734,0.001730528,0.005812206,0,1
99320,3,0.007542709,0.001754014,0.008857908,0.425403721,1.530208073
55541,2,0.007542697,0.00171999,0.013630402,0.850537479,2.340904701
114227,4,0.007542694,0.0017817,0.006225911,0.077609747,1.08070083
103503,4,0.00754269,0.001716584,0.012803029,0.787332915,2.197527609
12349,2,0.00754268,0.001709397,0.009988907,0.537895239,1.712398875
41802,2,0.007542672,0.001722225,0.010178561,0.558906551,1.748759276
8108,2,0.007542561,0.00172373,0.012763197,0.785466443,2.193429813
115472,3,0.007542507,0.001741314,0.012319721,0.753137727,2.123653017
106229,1,0.007542429,0.001763555,0.005778874,0,1
33976,2,0.007542418,0.001752104,0.008671726,0.403881316,1.497626192
60281,1,0.007542407,0.001717842,0.005824565,0,1
94912,2,0.0075424,0.001729066,0.01112127,0.648705227,1.913062243
102860,3,0.007542392,0.001732965,0.011445374,0.67810372,1.970138254
53496,2,0.007542349,0.00172451,0.014725009,0.928618431,2.531009997
37662,3,0.007542345,0.001728223,0.01290112,0.797024375,2.218928397
108536,3,0.007542341,0.001732385,0.011047118,0.642596601,1.901411682
5704,1,0.007542336,0.001709221,0.005833115,0,1
47505,2,0.007542301,0.001719831,0.013806025,0.863380505,2.371162889
45148,2,0.007542297,0.001708622,0.01096836,0.631367565,1.88018009
14043,3,0.007542287,0.001718735,0.011175337,0.651798916,1.918989827
109564,1,0.007542275,0.001675181,0.005867094,0,1
83829,1,0.007542229,0.001725879,0.00581635,0,1
62875,1,0.007542197,0.001748645,0.005793552,0,1
82350,1,0.007542163,0.001747496,0.005794667,0,1
34663,2,0.007542065,0.001844947,0.00733405,0.252567404,1.287326264
113535,2,0.007542058,0.001743008,0.011334451,0.670152711,1.954535777
11256,3,0.007542036,0.001709701,0.012991914,0.800909728,2.227566487
109,1,0.007542023,0.001668965,0.005873058,0,1
102892,1,0.00754202,0.001727698,0.005814322,0,1
19418,1,0.007541982,0.001738385,0.005803597,0,1
64325,2,0.007541886,0.001683473,0.011806683,0.700786993,2.01533814
95826,1,0.007541886,0.001715005,0.005826881,0,1
73316,2,0.007541881,0.001716969,0.014485855,0.911028786,2.486879686
118453,2,0.007541864,0.001847851,0.009640948,0.526604122,1.693172727
97716,1,0.007541787,0.001831383,0.005710404,0,1
97369,4,0.007541717,0.001732007,0.009966552,0.539704017,1.715499029
8595,3,0.007541598,0.001703585,0.008276514,0.349031398,1.417693702
106040,1,0.007541504,0.001708839,0.005832665,0,1
72212,2,0.007541183,0.001703362,0.014062343,0.87914287,2.408834136
66853,4,0.007540866,0.001823331,0.00906977,0.461409184,1.58630781
101122,3,0.007540743,0.001734589,0.009790212,0.522464694,1.686178446
22384,2,0.007540651,0.001701225,0.012378635,0.751339532,2.119837707
14894,1,0.00754061,0.001818585,0.005722025,0,1
39106,2,0.007540569,0.001677405,0.011023955,0.631381214,1.880205754
88907,2,0.007540338,0.001707326,0.01449298,0.910130898,2.484647746
32461,6,0.007540199,0.001715031,0.013230197,0.820314008,2.271212904
8763,1,0.007540185,0.001811757,0.005728428,0,1
59444,2,0.007540044,0.001711908,0.008534739,0.381447566,1.464402876
44017,1,0.00754002,0.001672311,0.005867709,0,1
98387,2,0.007539872,0.00167166,0.012532353,0.758763593,2.135634074
22461,1,0.007539812,0.001701635,0.005838177,0,1
21202,1,0.007539648,0.001783353,0.005756295,0,1
106224,4,0.007539229,0.001822428,0.011851616,0.729054851,2.073120274
67401,2,0.007539217,0.001707973,0.010762472,0.612834883,1.845656209
64202,1,0.007539202,0.001681083,0.005858119,0,1
1179,4,0.007539122,0.001898289,0.007097354,0.229690305,1.258210288
86654,5,0.007539104,0.001739617,0.010938698,0.634537277,1.886149175
24,1,0.007539041,0.00182352,0.005715521,0,1
32599,9,0.007538991,0.001711546,0.012797984,0.786709016,2.196157004
73574,1,0.007538757,0.001798931,0.005739826,0,1
100903,6,0.007538646,0.001722653,0.011036989,0.640640741,1.897696422
3535,1,0.007538637,0.00173018,0.005808457,0,1
173,3,0.007538586,0.001846773,0.006475136,0.128940808,1.137622784
53523,2,0.007538524,0.001787044,0.006320837,0.094394415,1.09899312
46732,2,0.007538488,0.001725094,0.011796785,0.707662444,2.029242242
29179,3,0.007538459,0.001721653,0.008228518,0.346854561,1.414610971
106110,1,0.00753844,0.001792317,0.005746123,0,1
37178,2,0.007538321,0.001717855,0.011925957,0.717336994,2.048969521
76221,4,0.007538272,0.001753815,0.007113425,0.206809367,1.229748119
72261,3,0.007538197,0.001709464,0.014442919,0.907404577,2.477883027
